lr: 0.0000031 | Train loss: 0.14356720447540283 | Validation loss: 0.2656071186065674 | Validation accuracy: 63.21537789427698 | QWKappa: 0.8550654750669304 | QWKappa Karolinska: 0.859953668532406 | QWKappa Radboud: 0.8163308566939625
lr: 0.0000021 | Train loss: 0.14300169050693512 | Validation loss: 0.2730492651462555 | Validation accuracy: 63.95806028833552 | QWKappa: 0.8503241730545271 | QWKappa Karolinska: 0.8527999099830671 | QWKappa Radboud: 0.8136395633369806
lr: 0.0000014 | Train loss: 0.14309059083461761 | Validation loss: 0.26702791452407837 | Validation accuracy: 63.95806028833552 | QWKappa: 0.8536890354822793 | QWKappa Karolinska: 0.8582848202927669 | QWKappa Radboud: 0.8156808497469231
lr: 0.0000008 | Train loss: 0.14148229360580444 | Validation loss: 0.2666148245334625 | Validation accuracy: 64.08912188728702 | QWKappa: 0.8549214675886869 | QWKappa Karolinska: 0.859467675681321 | QWKappa Radboud: 0.8170677637501907
lr: 0.0000004 | Train loss: 0.14309167861938477 | Validation loss: 0.2627994120121002 | Validation accuracy: 63.91437308868502 | QWKappa: 0.8559912785646395 | QWKappa Karolinska: 0.8631740575779995 | QWKappa Radboud: 0.8169711671490327
lr: 0.0000300 | Train loss: 0.4753302335739136 | Validation loss: 0.35849636793136597 | Validation accuracy: 39.49322848405417 | QWKappa: 0.7202983135021066 | QWKappa Karolinska: 0.6765144402960777 | QWKappa Radboud: 0.6664522353275815
lr: 0.0003000 | Train loss: 0.38991886377334595 | Validation loss: 0.37226229906082153 | Validation accuracy: 40.49803407601573 | QWKappa: 0.7552231352453466 | QWKappa Karolinska: 0.73811049992795 | QWKappa Radboud: 0.6859578587981362
lr: 0.0000300 | Train loss: 0.28563421964645386 | Validation loss: 0.27399638295173645 | Validation accuracy: 55.91961555264307 | QWKappa: 0.8220086388297496 | QWKappa Karolinska: 0.7950845095332244 | QWKappa Radboud: 0.7937018141904532
lr: 0.0000299 | Train loss: 0.2664388120174408 | Validation loss: 0.2608116865158081 | Validation accuracy: 58.0602883355177 | QWKappa: 0.8294521122692954 | QWKappa Karolinska: 0.8031639364921417 | QWKappa Radboud: 0.8033979746288848
lr: 0.0000296 | Train loss: 0.2528119683265686 | Validation loss: 0.2565731406211853 | Validation accuracy: 58.45347313237221 | QWKappa: 0.8394686571303565 | QWKappa Karolinska: 0.8222327027766604 | QWKappa Radboud: 0.80597396633507
lr: 0.0000292 | Train loss: 0.24192240834236145 | Validation loss: 0.2745940089225769 | Validation accuracy: 57.44866754041066 | QWKappa: 0.8380116564703597 | QWKappa Karolinska: 0.8287393353360926 | QWKappa Radboud: 0.8020514436862712
lr: 0.0000286 | Train loss: 0.23390036821365356 | Validation loss: 0.2439902424812317 | Validation accuracy: 61.29314110965487 | QWKappa: 0.8510315038572307 | QWKappa Karolinska: 0.8331641960166605 | QWKappa Radboud: 0.8239103570738402
lr: 0.0000279 | Train loss: 0.2275131493806839 | Validation loss: 0.24692393839359283 | Validation accuracy: 62.123197903014415 | QWKappa: 0.8579416728944387 | QWKappa Karolinska: 0.8406456217058809 | QWKappa Radboud: 0.8366963849240044
lr: 0.0000269 | Train loss: 0.22168731689453125 | Validation loss: 0.2444707751274109 | Validation accuracy: 60.725207514198345 | QWKappa: 0.8532110167493794 | QWKappa Karolinska: 0.8429350423017496 | QWKappa Radboud: 0.8246919528088223
lr: 0.0000259 | Train loss: 0.21182703971862793 | Validation loss: 0.2454005628824234 | Validation accuracy: 61.16207951070336 | QWKappa: 0.8498207225697001 | QWKappa Karolinska: 0.8296786832253997 | QWKappa Radboud: 0.8260458778891986
lr: 0.0000247 | Train loss: 0.2061973214149475 | Validation loss: 0.25045067071914673 | Validation accuracy: 63.47750109217999 | QWKappa: 0.8606868387742056 | QWKappa Karolinska: 0.8473356444320359 | QWKappa Radboud: 0.8343089923428628
lr: 0.0000234 | Train loss: 0.2007637470960617 | Validation loss: 0.2421419769525528 | Validation accuracy: 63.25906509392748 | QWKappa: 0.8617336244967686 | QWKappa Karolinska: 0.8477153448606434 | QWKappa Radboud: 0.8351835786440029
lr: 0.0000220 | Train loss: 0.19489386677742004 | Validation loss: 0.2458406537771225 | Validation accuracy: 64.70074268239406 | QWKappa: 0.8630605475191727 | QWKappa Karolinska: 0.8442954967059308 | QWKappa Radboud: 0.8407701261565179
lr: 0.0000206 | Train loss: 0.19069185853004456 | Validation loss: 0.234348326921463 | Validation accuracy: 64.65705548274356 | QWKappa: 0.8635493631240273 | QWKappa Karolinska: 0.8436903911597092 | QWKappa Radboud: 0.844549718462011
lr: 0.0000190 | Train loss: 0.1830325424671173 | Validation loss: 0.24921070039272308 | Validation accuracy: 66.92878986456968 | QWKappa: 0.8681861685341596 | QWKappa Karolinska: 0.8518833381966555 | QWKappa Radboud: 0.8492300863444691
lr: 0.0000174 | Train loss: 0.18203361332416534 | Validation loss: 0.24578309059143066 | Validation accuracy: 63.91437308868502 | QWKappa: 0.861351498054087 | QWKappa Karolinska: 0.8438635796670537 | QWKappa Radboud: 0.8398450158079022
lr: 0.0000158 | Train loss: 0.17469748854637146 | Validation loss: 0.25081995129585266 | Validation accuracy: 65.00655307994757 | QWKappa: 0.8646389352275158 | QWKappa Karolinska: 0.8494622657567739 | QWKappa Radboud: 0.8444008502844957
lr: 0.0000142 | Train loss: 0.1727810800075531 | Validation loss: 0.24513022601604462 | Validation accuracy: 65.4871122761031 | QWKappa: 0.8719035296433306 | QWKappa Karolinska: 0.8509811724072841 | QWKappa Radboud: 0.8548500918271149
lr: 0.0000126 | Train loss: 0.16858281195163727 | Validation loss: 0.2569666802883148 | Validation accuracy: 65.53079947575361 | QWKappa: 0.865833346082631 | QWKappa Karolinska: 0.8513518402784113 | QWKappa Radboud: 0.8424401824264847
lr: 0.0000110 | Train loss: 0.1640324741601944 | Validation loss: 0.2507524788379669 | Validation accuracy: 66.31716906946265 | QWKappa: 0.8630497691724779 | QWKappa Karolinska: 0.8428402826158188 | QWKappa Radboud: 0.8441567022427289
lr: 0.0000094 | Train loss: 0.15802007913589478 | Validation loss: 0.25862812995910645 | Validation accuracy: 66.27348186981214 | QWKappa: 0.8680811198864137 | QWKappa Karolinska: 0.8543911946801193 | QWKappa Radboud: 0.8450395074771337
